"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"31/01/2025","GLD","443.50","390.50","421.96","421.96","421.96","421.96","0.00","414.79","420.20","0.00","0.00"
"31/01/2025","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.00","0.00"
"31/01/2025","MMH","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"31/01/2025","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.00","0.00"
"31/01/2025","IIL","0.05","0.05","0.05","0.05","0.05","0.05","0.00","0.05","0.00","0.00","0.00"
"31/01/2025","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.00","0.09","0.00","0.00"
"30/01/2025","ACCESS","5.72","5.20","5.72","5.72","5.72","5.72","0.00","5.73","6.20","0.00","0.00"
"30/01/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","2.00","10.12"
"30/01/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.00","0.00"
"30/01/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"30/01/2025","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.00","0.00"
"30/01/2025","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","0.00","6.12","456.00","2,790.72"
"30/01/2025","BOPP","25.26","25.26","25.26","25.26","25.26","25.26","0.00","26.25","0.00","0.00","0.00"
"30/01/2025","CAL","0.39","0.35","0.38","0.38","0.39","0.39","0.01","0.39","0.40","54,928.00","21,489.78"
"30/01/2025","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0.00","0.03","0.00","5.00","0.15"
"30/01/2025","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.00","0.00"
"30/01/2025","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","6.00","0.12"
"30/01/2025","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.00","0.38","200.00","76.00"
"30/01/2025","EGH","6.60","6.50","6.50","6.50","6.60","6.60","0.10","6.50","0.00","12,128.00","80,012.00"
"30/01/2025","EGL","2.05","1.98","1.98","1.98","2.05","2.05","0.07","1.98","2.05","2,800.00","5,733.00"
"30/01/2025","ETI","0.40","0.31","0.37","0.37","0.40","0.40","0.03","0.38","0.40","5,000.00","2,000.00"
"30/01/2025","FML","3.70","3.70","3.70","3.70","3.70","3.70","0.00","0.00","3.70","10,000.00","37,000.00"
"30/01/2025","GCB","6.41","6.37","6.41","6.41","6.41","6.41","0.00","6.41","0.00","1,004.00","6,435.64"
"30/01/2025","GGBL","5.60","5.50","5.60","5.60","5.60","5.60","0.00","0.00","5.60","283.00","1,584.80"
"30/01/2025","GOIL","1.59","1.52","1.59","1.59","1.59","1.59","0.00","0.00","1.59","64,517.00","102,582.03"
"30/01/2025","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","0.00","5.38","0.00","0.00"
"30/01/2025","MTNGH","2.75","2.50","2.70","2.70","2.75","2.75","0.05","2.71","2.75","8,067.00","22,149.45"
"30/01/2025","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"30/01/2025","RBGH","0.66","0.60","0.60","0.60","0.60","0.60","0.00","0.60","0.66","0.00","0.00"
"30/01/2025","SCB","23.00","23.00","23.00","23.00","23.00","23.00","0.00","25.00","0.00","308.00","7,700.00"
"30/01/2025","SIC","0.27","0.27","0.27","0.27","0.27","0.27","0.00","0.27","0.00","0.00","0.00"
"30/01/2025","SOGEGH","1.50","1.50","1.50","1.50","1.50","1.50","0.00","1.50","0.00","128.00","192.00"
"30/01/2025","TBL","0.83","0.83","0.83","0.83","0.83","0.83","0.00","0.83","0.00","0.00","0.00"
"30/01/2025","TOTAL","13.37","13.12","13.37","13.37","13.37","13.37","0.00","13.40","0.00","0.00","0.00"
"30/01/2025","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","0.00","11.92","20.00","238.40"
"30/01/2025","UNIL","19.50","19.50","19.50","19.50","19.50","19.50","0.00","19.50","0.00","0.00","0.00"
"30/01/2025","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0.00","0.00","0.00","0.00","0.00"
"30/01/2025","CALPREF","0.29","0.29","0.29","0.29","0.29","0.29","0.00","0.29","0.00","0.00","0.00"
"30/01/2025","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","0.00","0.00","0.00"
"30/01/2025","GLD","443.50","390.50","414.79","414.79","422.00","421.96","7.17","414.79","420.20","333.00","140,511.60"
"30/01/2025","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.00","0.00"
"30/01/2025","MMH","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"30/01/2025","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.00","0.00"
"30/01/2025","IIL","0.05","0.05","0.05","0.05","0.05","0.05","0.00","0.05","0.00","0.00","0.00"
"30/01/2025","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.00","0.09","0.00","0.00"
"29/01/2025","ACCESS","5.72","5.20","5.72","5.72","5.72","5.72","0.00","5.73","0.00","0.00","0.00"
"29/01/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","0.00","0.00"
"29/01/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.00","0.00"
"29/01/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"29/01/2025","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.00","0.00"
"29/01/2025","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","0.00","6.12","962.00","5,887.44"
"29/01/2025","BOPP","25.26","25.26","25.26","25.26","25.26","25.26","0.00","26.25","0.00","200.00","5,250.00"
"29/01/2025","CAL","0.38","0.35","0.38","0.38","0.38","0.38","0.00","0.38","0.41","2,200.00","836.00"
"29/01/2025","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0.00","0.03","0.00","200.00","6.00"
"29/01/2025","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.00","0.00"
"29/01/2025","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","3,700.00","74.00"
"29/01/2025","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.00","0.38","19.00","7.22"
"29/01/2025","EGH","6.50","6.50","6.50","6.50","6.50","6.50","0.00","6.50","0.00","0.00","0.00"
"29/01/2025","EGL","1.98","1.98","1.98","1.98","1.98","1.98","0.00","1.98","2.05","6.00","11.88"
"29/01/2025","ETI","0.37","0.31","0.37","0.37","0.37","0.37","0.00","0.38","0.40","640.00","243.20"
"29/01/2025","FML","3.70","3.70","3.70","3.70","3.70","3.70","0.00","3.70","0.00","4,570.00","16,909.00"
"29/01/2025","GCB","6.41","6.37","6.41","6.41","6.41","6.41","0.00","0.00","6.41","125,252.00","802,865.32"
"29/01/2025","GGBL","5.60","5.50","5.50","5.50","5.60","5.60","0.10","5.50","5.60","2,363.00","13,232.80"
"29/01/2025","GOIL","1.59","1.52","1.59","1.59","1.59","1.59","0.00","0.00","1.59","32,077.00","51,002.43"
"29/01/2025","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","0.00","5.38","0.00","0.00"
"29/01/2025","MTNGH","2.70","2.50","2.70","2.70","2.70","2.70","0.00","2.65","2.75","23,410.00","63,260.50"
"29/01/2025","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"29/01/2025","RBGH","0.66","0.60","0.60","0.60","0.60","0.60","0.00","0.60","0.66","0.00","0.00"
"29/01/2025","SCB","23.00","23.00","23.00","23.00","23.00","23.00","0.00","25.00","0.00","0.00","0.00"
"29/01/2025","SIC","0.27","0.27","0.27","0.27","0.27","0.27","0.00","0.27","0.00","0.00","0.00"
"29/01/2025","SOGEGH","1.50","1.50","1.50","1.50","1.50","1.50","0.00","1.50","0.00","0.00","0.00"
"29/01/2025","TBL","0.83","0.83","0.83","0.83","0.83","0.83","0.00","0.83","0.00","0.00","0.00"
"29/01/2025","TOTAL","13.37","13.12","13.37","13.37","13.37","13.37","0.00","13.40","0.00","50.00","670.00"
"29/01/2025","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","0.00","11.92","8.00","95.36"
"29/01/2025","UNIL","19.50","19.50","19.50","19.50","19.50","19.50","0.00","19.50","0.00","0.00","0.00"
"29/01/2025","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0.00","0.00","0.00","0.00","0.00"
"29/01/2025","CALPREF","0.29","0.29","0.29","0.29","0.29","0.29","0.00","0.29","0.00","0.00","0.00"
"29/01/2025","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","0.00","0.00","0.00"
"29/01/2025","GLD","443.50","390.50","414.23","414.23","414.60","414.79","0.56","0.00","0.00","1,600.00","663,660.00"
"29/01/2025","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.00","0.00"
"29/01/2025","MMH","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"29/01/2025","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","6,270.00","627.00"
"29/01/2025","IIL","0.05","0.05","0.05","0.05","0.05","0.05","0.00","0.05","0.00","0.00","0.00"
"29/01/2025","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.00","0.09","0.00","0.00"
